Land;Hovedstad;Verdensdel;Programsti
Afghanistan;Kabul;Asia;Afghanistan.png
Albania;Tirana;Europa;Albania.png
Algerie;Alger;Afrika;Algerie.png
Amerikas forente stater;Washington, D.C.;Nord-Amerika;Amerikas forente stater.png
Andorra;Andorra la Vella;Europa;Andorra.png
Angola;Luanda;Afrika;Angola.png
Antigua og Barbuda;Saint John's;Nord-Amerika;Antigua og Barbuda.png
Argentina;Buenos Aires;Sør-Amerika;Argentina.png
Armenia;Jerevan;Asia;Armenia.png
Aserbajdsjan;Baku;Asia;Aserbajdsjan.png
Australia;Canberra;Oseania;Australia.png
Bahamas;Nassau;Nord-Amerika;Bahamas.png
Bahrain;Manama;Asia;Bahrain.png
Bangladesh;Dhaka;Asia;Bangladesh.png
Barbados;Bridgetown;Nord-Amerika;Barbados.png
Belarus;Minsk;Europa;Belarus.png
Belgia;Brussel;Europa;Belgia.png
Belize;Belmopan;Nord-Amerika;Belize.png
Benin;Porto-Novo;Afrika;Benin.png
Bhutan;Thimpu;Asia;Bhutan.png
Bolivia;Sucre (konstitusjonell, juridisk), La Paz (administrativ);Sør-Amerika;Bolivia.png
Bosnia-Hercegovina;Sarajevo;Europa;Bosnia-Hercegovina.png
Botswana;Gaborone;Afrika;Botswana.png
Brasil;Brasília;Sør-Amerika;Brasil.png
Brunei;Bandar Seri Begawan;Asia;Brunei.png
Bulgaria;Sofia;Europa;Bulgaria.png
Burkina Faso;Ouagadougou;Afrika;Burkina Faso.png
Burundi;Gitega;Afrika;Burundi.png
Canada;Ottawa;Nord-Amerika;Canada.png
Chile;Santiago de Chile (offisiell), Valparaíso (lovgivende);Sør-Amerika;Chile.png
Colombia;Bogotá;Sør-Amerika;Colombia.png
Costa Rica;San José;Nord-Amerika;Costa Rica.png
Cuba;Havanna;Nord-Amerika;Cuba.png
Danmark;København;Europa;Danmark.png
Djibouti;Djibouti;Afrika;Djibouti.png
Dominica;Roseau;Nord-Amerika;Dominica.png
Den dominikanske republikk;Santo Domingo;Nord-Amerika;Den dominikanske republikk.png
Ecuador;Quito;Sør-Amerika;Ecuador.png
Egypt;Kairo;Afrika;Egypt.png
Ekvatorial-Guinea;Malabo;Afrika;Ekvatorial-Guinea.png
El Salvador;San Salvador;Nord-Amerika;El Salvador.png
Elfenbenskysten;Yamoussoukro (offisiell), Abidjan (administrativ);Afrika;Elfenbenskysten.png
Eritrea;Asmara;Afrika;Eritrea.png
Estland;Tallinn;Europa;Estland.png
Eswatini;Mbabane (offisiell og administrativ), Lobamba (kongelig og lovgivende);Afrika;Eswatini.png
Etiopia;Addis Abeba;Afrika;Etiopia.png
Fiji;Suva;Oseania;Fiji.png
Filippinene;Manila;Asia;Filippinene.png
Finland;Helsingfors;Europa;Finland.png
De forente arabiske emirater;Abu Dhabi;Asia;De forente arabiske emirater.png
Frankrike;Paris;Europa;Frankrike.png
Gabon;Libreville;Afrika;Gabon.png
Gambia;Banjul;Afrika;Gambia.png
Georgia;Tbilisi;Europa;Georgia.png
Ghana;Accra;Afrika;Ghana.png
Grenada;St. George's;Nord-Amerika;Grenada.png
Guatemala;Guatemala by;Nord-Amerika;Guatemala.png
Guinea;Conakry;Afrika;Guinea.png
Guinea-Bissau;Bissau;Afrika;Guinea-Bissau.png
Guyana;Georgetown;Sør-Amerika;Guyana.png
Haiti;Port-au-Prince;Nord-Amerika;Haiti.png
Hellas;Athen;Europa;Hellas.png
Honduras;Tegucigalpa;Nord-Amerika;Honduras.png
India;New Delhi;Asia;India.png
Indonesia;Jakarta;Asia;Indonesia.png
Iran;Teheran;Asia;Iran.png
Irak;Bagdad;Asia;Irak.png
Irland;Dublin;Europa;Irland.png
Island;Reykjavík;Europa;Island.png
Israel;Jerusalem;Asia;Israel.png
Italia;Roma;Europa;Italia.png
Jamaica;Kingston;Nord-Amerika;Jamaica.png
Japan;Tokyo;Asia;Japan.png
Jemen;Sana;Asia;Jemen.png
Jordan;Amman;Asia;Jordan.png
Kambodsja;Phnom Penh;Asia;Kambodsja.png
Kamerun;Yaoundé;Afrika;Kamerun.png
Kapp Verde;Praia;Afrika;Kapp Verde.png
Kasakhstan;Astana;Asia;Kasakhstan.png
Kenya;Nairobi;Afrika;Kenya.png
Kina;Beijing;Asia;Kina.png
Kirgisistan;Bisjkek;Asia;Kirgisistan.png
Kiribati;South Tarawa;Oseania;Kiribati.png
Komorene;Moroni;Afrika;Komorene.png
Den demokratiske republikken Kongo;Kinshasa;Afrika;Den demokratiske republikken Kongo.png
Republikken Kongo;Brazzaville;Afrika;Republikken Kongo.png
Kosovo;Priština;Europa;Kosovo.png
Kroatia;Zagreb;Europa;Kroatia.png
Kuwait;Kuwait by;Asia;Kuwait.png
Kypros;Nikosia;Europa;Kypros.png
Laos;Vientiane;Asia;Laos.png
Latvia;Riga;Europa;Latvia.png
